;Unnamed: 0;first;second;data_type;cosine_similarity
115;;lowner_dev;conll03_train;sentences;0,3068191111087799
116;;conll03_train;lowner_test;gazetteers;0,7585081458091736
117;;lowner_test;conll03_train;gazetteers;0,635364294052124
118;;conll03_train;lowner_test;sentences;0,5153543949127197
119;;lowner_test;conll03_train;sentences;0,30788642168045044
120;;conll03_dev;conll03_dev;gazetteers;0,7446537017822266
121;;conll03_dev;conll03_dev;gazetteers;0,7446537017822266
122;;conll03_dev;conll03_dev;sentences;0,6580114960670471
123;;conll03_dev;conll03_dev;sentences;0,6580114960670471
124;;conll03_dev;conll03_test;gazetteers;0,7242992520332336
125;;conll03_test;conll03_dev;gazetteers;0,7296462059020996
126;;conll03_dev;conll03_test;sentences;0,5564765334129333
127;;conll03_test;conll03_dev;sentences;0,5555697083473206
128;;conll03_dev;wnut_train;gazetteers;0,6106199622154236
129;;wnut_train;conll03_dev;gazetteers;0,5826272368431091
130;;conll03_dev;wnut_train;sentences;0,39331600069999695
131;;wnut_train;conll03_dev;sentences;0,21472463011741638
132;;conll03_dev;wnut_dev;gazetteers;0,550436794757843
133;;wnut_dev;conll03_dev;gazetteers;0,5552261471748352
134;;conll03_dev;wnut_dev;sentences;0,3065018355846405
135;;wnut_dev;conll03_dev;sentences;0,19776415824890137
136;;conll03_dev;wnut_test;gazetteers;0,5754181742668152
137;;wnut_test;conll03_dev;gazetteers;0,5523270964622498
138;;conll03_dev;wnut_test;sentences;0,3412150740623474
139;;wnut_test;conll03_dev;sentences;0,21850690245628357
140;;conll03_dev;lowner_train;gazetteers;0,7440783381462097
141;;lowner_train;conll03_dev;gazetteers;0,5881476998329163
142;;conll03_dev;lowner_train;sentences;0,4907757043838501
143;;lowner_train;conll03_dev;sentences;0,25241097807884216
144;;conll03_dev;lowner_dev;gazetteers;0,6742807030677795
145;;lowner_dev;conll03_dev;gazetteers;0,6028706431388855
146;;conll03_dev;lowner_dev;sentences;0,44145599007606506
147;;lowner_dev;conll03_dev;sentences;0,25170886516571045
148;;conll03_dev;lowner_test;gazetteers;0,787122368812561
149;;lowner_test;conll03_dev;gazetteers;0,5810527205467224
150;;conll03_dev;lowner_test;sentences;0,5217400193214417
151;;lowner_test;conll03_dev;sentences;0,2534202039241791
152;;conll03_test;conll03_test;gazetteers;0,7440558075904846
153;;conll03_test;conll03_test;gazetteers;0,7440558075904846
154;;conll03_test;conll03_test;sentences;0,657568097114563
155;;conll03_test;conll03_test;sentences;0,657568097114563
156;;conll03_test;wnut_train;gazetteers;0,6216756701469421
157;;wnut_train;conll03_test;gazetteers;0,5861093401908875
158;;conll03_test;wnut_train;sentences;0,38619425892829895
159;;wnut_train;conll03_test;sentences;0,21856571733951569
160;;conll03_test;wnut_dev;gazetteers;0,5535417795181274
161;;wnut_dev;conll03_test;gazetteers;0,5459191799163818
162;;conll03_test;wnut_dev;sentences;0,3017309010028839
163;;wnut_dev;conll03_test;sentences;0,19949817657470703
164;;conll03_test;wnut_test;gazetteers;0,5814415812492371
165;;wnut_test;conll03_test;gazetteers;0,5468741655349731
166;;conll03_test;wnut_test;sentences;0,3367137908935547
167;;wnut_test;conll03_test;sentences;0,21896478533744812
168;;conll03_test;lowner_train;gazetteers;0,753034234046936
169;;lowner_train;conll03_test;gazetteers;0,5836957097053528
170;;conll03_test;lowner_train;sentences;0,48171183466911316
171;;lowner_train;conll03_test;sentences;0,25390711426734924
172;;conll03_test;lowner_dev;gazetteers;0,6776525378227234
173;;lowner_dev;conll03_test;gazetteers;0,5993064641952515
174;;conll03_test;lowner_dev;sentences;0,42963549494743347
175;;lowner_dev;conll03_test;sentences;0,25227510929107666
176;;conll03_test;lowner_test;gazetteers;0,7980065941810608
177;;lowner_test;conll03_test;gazetteers;0,576781690120697
178;;conll03_test;lowner_test;sentences;0,5143965482711792
179;;lowner_test;conll03_test;sentences;0,25387173891067505
